00320040	PR_REPORT_TIME PidTagReportTime
0033000b	PR_RETURNED_IPM PidTagReturnedMessageid .ReturnedIpm
00340003	PR_CONVERT_RTF_QUOTE
00340003	PR_SECURITY PidTagSecurity
0035000b	PR_CONVERT_RTF_EMPTY
0035000b	PR_INCOMPLETE_COPY PidTagIncompleteCopy
00360003	PR_SENSITIVITY PidTagSensitivity
0036001f	PR_CONVERT_RTF_ENDTXT
0037001f+A	PR_SUBJECT PidTagSubject
0038001f	PR_CONVERT_RTF_BEGINTXT
00380102	PR_SUBJECT_IPM PidTagSubjectMessageId .SubjectIPM
00390040	PR_CLIENT_SUBMIT_TIME PidTagClientSubmitTime
003a001f	PR_REPORT_NAME PidTagReportName
003b0102	PR_SENT_REPRESENTING_SEARCH_KEY PidTagSentRepresentingSearchKey
003c0102	PR_X400_CONTENT_TYPE PidTagX400ContentType
003d001f+A	PR_SUBJECT_PREFIX PidTagSubjectPrefix
003e0003	PR_NON_RECEIPT_REASON PidTagNonReceiptReason
003f0102	PR_RECEIVED_BY_ENTRYID PidTagReceivedByEntryId
0040000b	PR_CONVERT_USE_DIV
0040001f	PR_RECEIVED_BY_NAME PidTagReceivedByName
00400102	PR_EMS_HELPFILE32_BLOB
00410102	PR_SENT_REPRESENTING_ENTRYID PidTagSentRepresentingEntryId
00420003	PR_CONVERT_ENRICHED_CPID
00420003	PR_CONVERT_INPUT_CPID
00420003	PR_CONVERT_MHTML_CPID
0042001f+A	PR_SENT_REPRESENTING_NAME PidTagSentRepresentingName
00430003	PR_CONVERT_HTML_DEFAULT_CPID
00430102	PR_RCVD_REPRESENTING_ENTRYID PidTagReceivedRepresentingEntryId
0044001f+A	PR_RCVD_REPRESENTING_NAME PidTagReceivedRepresentingName
00450102	PR_REPORT_ENTRYID PidTagReportEntryId
00460102	PR_READ_RECEIPT_ENTRYID PidTagReadReceiptEntryId
00470102	PR_MESSAGE_SUBMISSION_ID PR_MTS_ID PR_MTS_REPORT_ID PidTagMessageSubmissionId
00480040	PR_PROVIDER_SUBMIT_TIME PidTagProviderSubmitTime
0049001f	PR_ORIGINAL_SUBJECT PidTagOriginalSubject
